log,label
"{""name"": ""Bob"", ""age"": {}}",0
"{""$or"": [{""username"": ""guest""}, {""isAdmin"": false}]}",0
"{""user"": ""john"", ""password"": ""password123""}",0
"{""type"": ""user"", ""name"": ""user"", ""roles"": [""user""], ""password"": ""user""}",0
"{ ""$and"": [ {""username"": ""test""}, {""isAdmin"": false} ]}",0
"{""user"": {""$elemMatch"": {""$eq"": ""admin""}}, ""password"": {""$ne"": ""test""}}",NoSQL
"{""username"": {""$regex"": ""{}.*admin.*"", ""$options"": ""i""}}",NoSQL
"{""$and"": [{""username"": ""test""}, {""isAdmin"": true}] }",NoSQL
"{""user"": {""$size"": 2}, ""password"": ""123456""}",NoSQL
"{""$where"": ""this.age > 30 && this.gender === 'female'""}",NoSQL
"{""name"": {""$type"": 5}}",NoSQL
"{""name"": {""$type"": 20}}",NoSQL
"{""username"": {""$regex"": ""^{}$"", ""$options"": ""i""}, ""password"": {""$ne"": ""admin""}}",NoSQL
"{""username"": {""$gt"": null}, ""password"": {""$eq"": ""admin""}}",NoSQL
"{""name"": {""$exists"": false}, ""password"": {""$exists"": true}}",NoSQL
"{""name"": {""$not"": { ""$type"": 6 }}}",NoSQL
"{""name"": {""$not"": { ""$type"": 21 }}}",NoSQL
"{""$where"": ""this.password.length > 12 && this.name === 'root'""}",NoSQL
"{""user"": ""admin"", ""password"": ""administrator""}",NoSQL
"{""user"": ""root"", ""password"": ""administrator""}",NoSQL
"{""user"": ""admin"", ""password"": ""admin123""}",NoSQL
"{""user"": ""testuser"", ""password"": ""testuser2023""}",NoSQL
"{""user"": ""test"", ""password"": ""pass123""}",0
"{""name"": ""Jane"", ""age"": {}}",0
"{""$or"": [{""username"": ""guest""}, {""isAdmin"": true}]}",0
"{""user"": ""john"", ""password"": ""password2023""}",0
"{""type"": ""user"", ""name"": ""user"", ""roles"": [""user""], ""password"": ""secure123""}",0
"{ ""$and"": [ {""username"": ""user""}, {""isAdmin"": false} ]}",0
"{""type"": ""user"", ""name"": ""user"", ""roles"": [""user""], ""password"": ""password2023""}",0
"{ ""$and"": [ {""username"": ""admin""}, {""isAdmin"": false} ]}",0
"{""user"": ""malicious1"", ""password"": ""malicious1password""}",NoSQL
"{""username"": {""$regex"": ""^malicious2""}}",NoSQL
"{""user"": ""test"", ""password"": ""test{}""}",NoSQL
"{""user"": {""$in"": [""admin"", ""root"", ""hacker""]}, ""password"": ""password""}",NoSQL
"{""user"": {""$size"": 4}, ""password"": ""123456""}",NoSQL
"{""$where"": ""this.age > 25 && this.gender === 'male'""}",NoSQL
"{""name"": {""$type"": 22}}",NoSQL
"{""name"": {""$type"": 23}}",NoSQL
"{""username"": {""$regex"": ""^(malicious3|malicious4)\\d+""}}",NoSQL
"{""user"": {""$eq"": ""admin""}, ""password"": ""malicious5""}",NoSQL
"{""user"": {""$regex"": ""^malicious6""}}",NoSQL
"{""$or"": [{""isAdmin"": true}, {""name"": {""$regex"": ""^(malicious7|malicious8)""}}]}",NoSQL
"{""user"": ""malicious9"", ""password"": {""$ne"": ""malicious9password""}}",NoSQL
"{""user"": {""$in"": [""admin"", ""root"", ""malicious10""]}, ""password"": ""malicious10password""}",NoSQL
"{""user"": {""$size"": 10}, ""password"": {""$type"": 200}}",NoSQL
"{""user"": {""$regex"": ""^malicious23""}, ""age"": {""$exists"": true}}",NoSQL
"{""user"": ""benign28"", ""name"": {""$type"": 2}}",0
"{""user"": ""benign27"", ""age"": {""$exists"": true}}",0
"db.categories.createIndex({""name"": 1})",0
"db.reviews.remove({""user"": ""benign24""})",0
"db.orders.insert({""user"": ""user123"", ""product"": ""ProductA"", ""quantity"": 2})",0
"db.customers.update({""user"": ""user123""}, {""$set"": {""email"": ""new_email@example.com""}})",0
"{""user"": ""benign1"", ""password"": ""benign1password""}",0
"{""username"": {""$regex"": ""^benign2""}}",0
"{""user"": ""test"", ""password"": ""test{}""}",0
"{""user"": {""$in"": [""guest"", ""user"", ""benign3""]}, ""password"": ""password""}",0
"{""user"": {""$size"": 5}, ""password"": ""123456""}",0
"{""$where"": ""this.age > 30 && this.gender === 'female'""}",0
"{""name"": {""$type"": 24}}",0
"{""name"": {""$type"": 25}}",0
"{""username"": {""$regex"": ""^(benign4|benign5)\\d+""}}",0
"{""user"": {""$eq"": ""user""}, ""password"": ""benign6""}",0
"{""user"": {""$regex"": ""^benign7""}}",0
"{""$or"": [{""isAdmin"": false}, {""name"": {""$regex"": ""^(benign8|benign9)""}}]}",0
"{""user"": ""benign10"", ""password"": {""$ne"": ""benign10password""}}",0
"{""user"": {""$in"": [""guest"", ""user"", ""benign11""]}, ""password"": ""benign11password""}",0
"{""user"": ""malicious11"", ""password"": ""malicious11password""}",NoSQL
"{""username"": {""$regex"": ""^malicious12""}}",NoSQL
"{""user"": ""test"", ""password"": ""test123{}""}",NoSQL
"{""user"": {""$in"": [""admin"", ""root"", ""hacker"", ""malicious13""]}, ""password"": ""password""}",NoSQL
"{""user"": {""$size"": 6}, ""password"": ""123456""}",NoSQL
"{""$where"": ""this.age > 30 && this.gender === 'male' && this.status === 'active'""}",NoSQL
"{""name"": {""$type"": 26}}",NoSQL
"{""name"": {""$type"": 27}}",NoSQL
"{""username"": {""$regex"": ""^(malicious14|malicious15)\\d+""}}",NoSQL
"{""user"": {""$eq"": ""admin""}, ""password"": ""malicious16""}",NoSQL
"{""user"": {""$regex"": ""^malicious17""}}",NoSQL
"{""$or"": [{""isAdmin"": true}, {""name"": {""$regex"": ""^(malicious18|malicious19)""}}]}",NoSQL
"{""user"": ""malicious20"", ""password"": {""$ne"": ""malicious20password""}}",NoSQL
"{""user"": {""$in"": [""admin"", ""root"", ""malicious21"", ""hacker""]}, ""password"": ""malicious21password""}",NoSQL
"{""user"": ""benign12"", ""password"": ""benign12password""}",0
"{""username"": {""$regex"": ""^benign13""}}",0
"{""user"": ""test"", ""password"": ""test456{}""}",0
"{""user"": {""$in"": [""guest"", ""user"", ""benign14""]}, ""password"": ""password""}",0
"{""user"": {""$size"": 7}, ""password"": ""123456""}",0
"{""$where"": ""this.age > 35 && this.gender === 'female' && this.status === 'active'""}",0
"{""name"": {""$type"": 28}}",0
"{""name"": {""$type"": 29}}",0
"{""username"": {""$regex"": ""^(benign15|benign16)\\d+""}}",0
"{""user"": {""$eq"": ""user""}, ""password"": ""benign17""}",0
"{""user"": {""$regex"": ""^benign18""}}",0
"{""$or"": [{""isAdmin"": false}, {""name"": {""$regex"": ""^(benign19|benign20)""}}]}",0
"{""user"": ""benign21"", ""password"": {""$ne"": ""benign21password""}}",0
"{""user"": {""$in"": [""guest"", ""user"", ""benign22""]}, ""password"": ""benign22password""}",0
"{""$where"": ""this.age > 35 && this.gender === 'female' && this.isActive === true""}",NoSQL
"{""name"": {""$type"": 30}}",NoSQL
"{""username"": {""$regex"": ""^(malicious23|malicious24)\\d+""}, ""isAdmin"": false}",NoSQL
"{""user"": {""$gt"": ""admin""}, ""password"": ""maliciouspassword""}",NoSQL
"{""$or"": [{""username"": ""malicious25""}, {""isAdmin"": true}]}",NoSQL
"{""user"": ""malicious26"", ""password"": {""$ne"": ""maliciouspassword""}}",NoSQL
"{""user"": {""$in"": [""admin"", ""root"", ""malicious27"", ""hacker"", ""test""]}, ""password"": ""maliciouspassword""}",NoSQL
"{""$and"": [{""username"": ""testuser""}, {""isAdmin"": false}] }",0
"{""user"": {""$size"": 9}, ""password"": ""benignpassword""}",0
"{""$where"": ""this.age > 40 && this.gender === 'male' && this.isActive === true""}",0
"{""name"": {""$type"": 31}}",0
"{""username"": {""$regex"": ""^(benign23|benign24)\\d+""}, ""isAdmin"": true}",0
"{""user"": {""$gt"": ""user""}, ""password"": ""benignpassword""}",0
"{""$or"": [{""username"": ""benign25""}, {""isAdmin"": false}]}",0
"{""user"": ""benign26"", ""password"": {""$ne"": ""benignpassword""}}",0
"{""user"": {""$in"": [""guest"", ""user"", ""Superuser"", ""test""]}, ""password"": ""password123""}",0
"{""user"": {""$elemMatch"": {""$eq"": ""user""}}, ""password"": {""$ne"": ""test""}}",NoSQL
"{""user"": {""$elemMatch"": {""$eq"": ""guest""}}, ""password"": {""$ne"": ""guest""}}",NoSQL
"{""user"": {""$elemMatch"": {""$eq"": ""admin""}}, ""password"": {""$ne"": ""admin""}}",NoSQL
"{""username"": {""$regex"": ""^user""}, ""isAdmin"": true}",NoSQL
"{""username"": {""$regex"": ""^guest""}, ""isAdmin"": true}",NoSQL
"{""username"": {""$regex"": ""^admin""}, ""isAdmin"": true}",NoSQL
"{""user"": {""$in"": [""admin"", ""root"", ""hacker"", ""test"", ""guest""]}, ""password"": ""password""}",NoSQL
"{""user"": {""$in"": [""user"", ""admin"", ""guest"", ""test"", ""hacker""]}, ""password"": ""password""}",NoSQL
"{""user"": {""$in"": [""guest"", ""test"", ""user"", ""admin"", ""hacker""]}, ""password"": ""password""}",NoSQL
"{""user"": {""$size"": 8}, ""password"": ""123456""}",NoSQL
"{""user"": {""$size"": 10}, ""password"": ""12345678""}",NoSQL
"{""name"": {""$type"": 33}}",0
"{""name"": {""$type"": 34}}",0
"{""username"": {""$regex"": ""^(malicious28|malicious29)\\d+""}, ""isAdmin"": false}",NoSQL
"{""username"": {""$regex"": ""^(malicious30|malicious31)\\d+""}, ""isAdmin"": false}",NoSQL
"{""user"": {""$gt"": ""admin""}, ""password"": ""maliciouspassword""}",NoSQL
"{""user"": {""$gt"": ""user""}, ""password"": ""maliciouspassword""}",NoSQL
"{""$or"": [{""username"": ""malicious32""}, {""isAdmin"": true}]}",NoSQL
"{""$or"": [{""username"": ""malicious33""}, {""isAdmin"": true}]}",NoSQL
"{""user"": ""malicious34"", ""password"": {""$ne"": ""maliciouspassword""}}",NoSQL
"{""user"": ""malicious35"", ""password"": {""$ne"": ""maliciouspassword""}}",NoSQL
"{""user"": {""$in"": [""admin"", ""root"", ""malicious36"", ""hacker"", ""test"", ""guest""]}, ""password"": ""password123""}",NoSQL
"{""user"": {""$in"": [""user"", ""admin"", ""guest"", ""test"", ""hacker"", ""malicious37""]}, ""password"": ""admin123""}",NoSQL
"{""$and"": [{""username"": ""guest""}, {""isAdmin"": false}] }",0
"{""$and"": [{""username"": ""test""}, {""isAdmin"": true}] }",0
"{""user"": {""$size"": 11}, ""password"": ""benignpassword""}",0
"{""user"": {""$size"": 12}, ""password"": ""benignpassword""}",0
"{""username"": {""$regex"": ""^(benign28|benign29)\\d+""}, ""isAdmin"": true}",0
"{""username"": {""$regex"": ""^(benign30|benign31)\\d+""}, ""isAdmin"": true}",0
"{""user"": {""$gt"": ""user""}, ""password"": ""benignpassword""}",0
"{""user"": {""$gt"": ""guest""}, ""password"": ""benignpassword""}",0
"{""$or"": [{""username"": ""admin1""}, {""isAdmin"": false}]}",0
"{""$or"": [{""username"": ""Admin123""}, {""isAdmin"": false}]}",0
"{""user"": ""benign34"", ""password"": {""$ne"": ""benignpassword""}}",0
"{""user"": ""benign35"", ""password"": {""$ne"": ""benignpassword""}}",0
"{""user"": {""$in"": [""admin"", ""root"", ""benign36"", ""hacker"", ""test"", ""guest""]}, ""password"": ""benignpassword""}",0
"{""user"": {""$in"": [""user"", ""admin"", ""guest"", ""test"", ""hacker"", ""Admin123""]}, ""password"": ""benignpassword""}",0
"{""$or"": [{},{""foo"":""1""}]}",NoSQL
"{""$where"":  ""return true""}",NoSQL
"{""$in"": []}",NoSQL
